dt;job_id;wall_time;user;wall_limit;n_tasks;ntasks_per_node;account;partition;qos;constraint;mem;gres
2144;1032;-1;user4;24;6;6;account2;normal;normal;;;
2176;1033;218;user5;14;1;1;account2;normal;normal;CPU-N;;
2357;1034;0;user4;20;48;12;account2;normal;normal;;;
2520;1035;120;user2;9;24;12;account1;normal;normal;;;
2540;1036;542;user1;21;12;12;account1;normal;normal;CPU-M;;
2551;1037;301;user3;8;36;12;account1;normal;normal;CPU-M;;
2575;1038;230;user1;7;12;12;account1;normal;normal;;;gpu:2
2576;1039;598;user3;16;96;12;account1;normal;normal;;;
2809;1040;322;user1;6;24;12;account1;normal;normal;;;
2841;1041;345;user1;8;1;1;account1;normal;normal;;;gpu:1
2861;1042;375;user3;20;12;12;account1;normal;normal;;;
2863;1043;60;user4;12;1;1;account2;normal;normal;;;
3050;1044;228;user5;26;12;12;account2;normal;normal;CPU-N;;
3105;1045;1249;user2;27;2;2;account1;normal;normal;;;gpu:2
3111;1046;-1;user1;21;6;6;account1;normal;normal;;;
3138;1047;481;user5;23;12;12;account2;normal;normal;;500000;
3146;1048;217;user4;5;96;12;account2;normal;normal;;;
3155;1049;0;user4;5;12;12;account2;normal;normal;;;gpu:2
3226;1050;200;user1;9;1;1;account1;normal;normal;;500000;
3232;1051;499;user3;17;1;1;account1;normal;normal;;;
3375;1052;598;user2;12;12;12;account1;normal;normal;;500000;
3394;1053;643;user5;19;12;12;account2;normal;normal;;500000;
3449;1054;0;user3;5;36;12;account1;normal;normal;;;
3468;1055;830;user3;19;12;12;account1;normal;normal;;;
3518;1056;47;user2;20;1;1;account1;normal;normal;CPU-N;;
3551;1057;1192;user4;21;6;6;account2;normal;normal;CPU-N;;
3573;1058;407;user4;8;6;6;account2;normal;normal;;500000;
3592;1059;160;user1;5;6;6;account1;normal;normal;CPU-M;;
3614;1060;296;user3;5;6;6;account1;normal;normal;CPU-M;;
3685;1061;-1;user2;28;36;12;account1;normal;normal;;;
3714;1062;237;user2;9;1;1;account1;normal;normal;;;
3747;1063;263;user1;21;1;1;account1;normal;normal;;;gpu:1
3756;1064;149;user1;28;6;6;account1;normal;normal;CPU-M;;
3807;1065;65;user5;5;6;6;account2;normal;normal;CPU-N;;
3817;1066;628;user4;20;48;12;account2;normal;normal;CPU-N;;
3903;1067;265;user5;26;6;6;account2;normal;normal;;500000;
3946;1068;289;user5;16;1;1;account2;normal;normal;CPU-N;;
3955;1069;0;user3;12;1;1;account1;normal;normal;;;
4028;1070;236;user4;11;12;12;account2;normal;normal;;;
4043;1071;0;user1;29;1;1;account1;normal;normal;CPU-M;;
4136;1072;251;user1;10;36;12;account1;normal;normal;;;
4158;1073;177;user1;6;1;1;account1;normal;normal;;;gpu:1
4179;1074;923;user2;20;6;6;account1;normal;normal;CPU-M;;
4184;1075;454;user2;30;12;12;account1;normal;normal;;500000;
4228;1076;0;user5;10;12;12;account2;normal;normal;CPU-M;;
4243;1077;0;user1;25;6;6;account1;normal;normal;CPU-N;;
4250;1078;35;user3;9;6;6;account1;normal;normal;CPU-M;;
4317;1079;0;user2;5;12;12;account1;normal;normal;CPU-M;;
4372;1080;634;user4;14;48;12;account2;normal;normal;;;
4434;1081;568;user4;20;1;1;account2;normal;normal;;;gpu:1
4471;1082;1177;user5;20;12;12;account2;normal;normal;;;
4559;1083;588;user4;27;36;12;account2;normal;normal;CPU-N;;
4573;1084;807;user5;17;6;6;account2;normal;normal;CPU-M;;
4605;1085;0;user5;5;12;12;account2;normal;normal;;;gpu:2
4623;1086;0;user4;6;36;12;account2;normal;normal;CPU-N;;
4634;1087;0;user1;22;1;1;account1;normal;normal;CPU-M;;
4669;1088;-1;user2;14;36;12;account1;normal;normal;;;
4673;1089;80;user4;5;2;2;account2;normal;normal;;;gpu:2
4771;1090;311;user4;11;1;1;account2;normal;normal;CPU-M;;
4903;1091;1253;user3;27;48;12;account1;normal;normal;CPU-M;;
4911;1092;265;user4;30;24;12;account2;normal;normal;;;
4958;1093;445;user3;28;1;1;account1;normal;normal;CPU-N;;
4965;1094;-1;user5;29;1;1;account2;normal;normal;;;
5052;1095;227;user3;8;1;1;account1;normal;normal;CPU-N;;
5153;1096;-1;user5;11;6;6;account2;normal;normal;CPU-N;;
5164;1097;-1;user1;14;12;12;account1;normal;normal;;;
5194;1098;1097;user3;22;12;12;account1;normal;normal;;500000;
5208;1099;0;user1;13;6;6;account1;normal;normal;CPU-M;;
5268;1100;0;user2;7;1;1;account1;normal;normal;;500000;
5306;1101;216;user3;5;96;12;account1;normal;normal;;;
5308;1102;1089;user5;28;1;1;account2;normal;normal;CPU-N;;
5350;1103;1063;user3;29;12;12;account1;normal;normal;CPU-M;;
5370;1104;1166;user3;22;24;12;account1;normal;normal;CPU-N;;
5488;1105;1297;user1;27;1;1;account1;normal;normal;;;gpu:1
5513;1106;0;user1;14;1;1;account1;normal;normal;;;gpu:1
5556;1107;-1;user2;12;1;1;account1;normal;normal;;500000;
5609;1108;760;user5;30;6;6;account2;normal;normal;CPU-N;;
5725;1109;0;user2;29;6;6;account1;normal;normal;CPU-N;;
5726;1110;833;user2;18;1;1;account1;normal;normal;CPU-M;;
5772;1111;0;user2;13;1;1;account1;normal;normal;;;
5809;1112;1595;user2;27;2;2;account1;normal;normal;;;gpu:2
5904;1113;403;user5;18;1;1;account2;normal;normal;CPU-N;;
5935;1114;354;user2;11;6;6;account1;normal;normal;CPU-N;;
6000;1115;0;user2;9;6;6;account1;normal;normal;CPU-N;;
6060;1116;782;user5;21;12;12;account2;normal;normal;;;
6159;1117;1796;user4;30;12;12;account2;normal;normal;;;
6191;1118;762;user2;16;36;12;account1;normal;normal;CPU-M;;
6200;1119;983;user2;22;12;12;account1;normal;normal;CPU-M;;
6450;1120;777;user5;28;12;12;account2;normal;normal;CPU-N;;
6538;1121;1740;user3;30;12;12;account1;normal;normal;;;gpu:2
6568;1122;382;user4;17;6;6;account2;normal;normal;;;
6737;1123;-1;user5;7;1;1;account2;normal;normal;CPU-N;;
6744;1124;0;user2;5;1;1;account1;normal;normal;;;
6837;1125;0;user5;30;6;6;account2;normal;normal;;;
6868;1126;42;user4;5;24;12;account2;normal;normal;CPU-M;;
6887;1127;146;user5;23;1;1;account2;normal;normal;CPU-M;;
6905;1128;0;user2;5;6;6;account1;normal;normal;CPU-M;;
6937;1129;815;user1;28;48;12;account1;normal;normal;;;
6991;1130;34;user1;12;1;1;account1;normal;normal;;500000;
7033;1131;720;user4;22;24;12;account2;normal;normal;CPU-M;;
7042;1132;0;user5;5;1;1;account2;normal;normal;;;
7177;1133;315;user3;8;12;12;account1;normal;normal;;;
7182;1134;282;user4;12;6;6;account2;normal;normal;;;
7210;1135;55;user3;30;6;6;account1;normal;normal;;;
7245;1136;1155;user1;26;12;12;account1;normal;normal;;500000;
7257;1137;1256;user1;29;12;12;account1;normal;normal;CPU-M;;
7296;1138;0;user4;5;12;12;account2;normal;normal;;;
7357;1139;-1;user1;10;12;12;account1;normal;normal;;500000;
7372;1140;951;user5;20;12;12;account2;normal;normal;;;gpu:2
7497;1141;-1;user2;29;12;12;account1;normal;normal;;;
7506;1142;0;user2;17;6;6;account1;normal;normal;CPU-N;;
7600;1143;259;user2;7;1;1;account1;normal;normal;CPU-N;;
7650;1144;603;user3;11;1;1;account1;normal;normal;;500000;
7702;1145;743;user3;18;12;12;account1;normal;normal;;;
7740;1146;0;user3;21;96;12;account1;normal;normal;;;
7752;1147;-1;user2;24;12;12;account1;normal;normal;;;
7753;1148;150;user1;5;24;12;account1;normal;normal;;;
7812;1149;-1;user3;12;1;1;account1;normal;normal;CPU-N;;
7944;1150;197;user2;14;12;12;account1;normal;normal;;;gpu:2
8014;1151;143;user5;6;1;1;account2;normal;normal;CPU-M;;
8024;1152;504;user1;14;1;1;account1;normal;normal;CPU-N;;
8116;1153;1255;user4;22;24;12;account2;normal;normal;;;
8121;1154;106;user3;19;12;12;account1;normal;normal;;500000;
8128;1155;796;user1;19;12;12;account1;normal;normal;CPU-M;;
8143;1156;222;user1;5;96;12;account1;normal;normal;;;
8143;1157;-1;user5;27;2;2;account2;normal;normal;;;gpu:2
8186;1158;380;user1;7;96;12;account1;normal;normal;;;
8239;1159;113;user3;6;12;12;account1;normal;normal;;;
8286;1160;1695;user3;30;1;1;account1;normal;normal;;;gpu:1
8372;1161;1539;user3;30;1;1;account1;normal;normal;;;
8380;1162;174;user5;29;96;12;account2;normal;normal;;;
8435;1163;0;user1;21;2;2;account1;normal;normal;;;gpu:2
8457;1164;159;user4;7;6;6;account2;normal;normal;CPU-M;;
8550;1165;1357;user2;30;12;12;account1;normal;normal;;;
8577;1166;44;user1;17;12;12;account1;normal;normal;;;
8585;1167;-1;user1;28;1;1;account1;normal;normal;;;
8589;1168;639;user3;20;24;12;account1;normal;normal;CPU-M;;
8591;1169;-1;user2;27;12;12;account1;normal;normal;;;
8649;1170;267;user1;15;24;12;account1;normal;normal;CPU-N;;
8705;1171;61;user5;5;6;6;account2;normal;normal;;;
8791;1172;0;user3;16;1;1;account1;normal;normal;CPU-N;;
8872;1173;0;user4;18;24;12;account2;normal;normal;CPU-N;;
8983;1174;280;user1;5;1;1;account1;normal;normal;CPU-M;;
9000;1175;-1;user1;27;24;12;account1;normal;normal;;;
9005;1176;83;user3;5;12;12;account1;normal;normal;;;
9040;1177;390;user5;26;6;6;account2;normal;normal;CPU-M;;
9156;1178;1600;user2;30;1;1;account1;normal;normal;;;gpu:1
9244;1179;749;user5;20;12;12;account2;normal;normal;;;
9330;1180;174;user5;5;12;12;account2;normal;normal;CPU-N;;
9361;1181;1113;user4;24;6;6;account2;normal;normal;;;
9388;1182;866;user4;20;24;12;account2;normal;normal;;;
9390;1183;-1;user2;29;36;12;account1;normal;normal;;;
9500;1184;-1;user5;19;1;1;account2;normal;normal;;;
9585;1185;0;user2;13;12;12;account1;normal;normal;CPU-M;;
9605;1186;-1;user1;22;12;12;account1;normal;normal;CPU-N;;
9686;1187;286;user3;5;24;12;account1;normal;normal;CPU-M;;
9692;1188;507;user1;13;24;12;account1;normal;normal;CPU-N;;
9701;1189;94;user1;17;6;6;account1;normal;normal;CPU-M;;
9701;1190;-1;user4;8;24;12;account2;normal;normal;;;
9811;1191;147;user4;10;36;12;account2;normal;normal;;;
9884;1192;1122;user2;24;12;12;account1;normal;normal;CPU-M;;
9910;1193;666;user4;24;12;12;account2;normal;normal;;;
9984;1194;386;user3;19;24;12;account1;normal;normal;;;
9992;1195;259;user5;13;12;12;account2;normal;normal;CPU-N;;
10068;1196;252;user4;12;1;1;account2;normal;normal;;;
10089;1197;238;user4;6;1;1;account2;normal;normal;;;gpu:1
10121;1198;-1;user3;29;48;12;account1;normal;normal;CPU-N;;
10132;1199;402;user3;30;48;12;account1;normal;normal;CPU-M;;
10221;1200;300;user2;13;1;1;account1;normal;normal;CPU-N;;
10278;1201;-1;user2;5;12;12;account1;normal;normal;CPU-N;;
10301;1202;490;user3;25;12;12;account1;normal;normal;CPU-M;;
10363;1203;2;user3;21;12;12;account1;normal;normal;;;gpu:2
10398;1204;0;user4;19;1;1;account2;normal;normal;CPU-N;;
10405;1205;-1;user3;18;12;12;account1;normal;normal;;500000;
10417;1206;1773;user3;30;1;1;account1;normal;normal;;;
10446;1207;0;user2;25;1;1;account1;normal;normal;;;
10459;1208;188;user2;5;6;6;account1;normal;normal;CPU-N;;
10493;1209;415;user1;7;24;12;account1;normal;normal;;;
10495;1210;534;user4;21;12;12;account2;normal;normal;CPU-N;;
10536;1211;57;user3;7;24;12;account1;normal;normal;;;
10569;1212;147;user5;25;1;1;account2;normal;normal;CPU-M;;
10786;1213;595;user1;20;48;12;account1;normal;normal;;;
10788;1214;0;user1;18;12;12;account1;normal;normal;CPU-M;;
10828;1215;706;user3;16;36;12;account1;normal;normal;CPU-N;;
10867;1216;700;user3;26;1;1;account1;normal;normal;CPU-M;;
10896;1217;-1;user1;23;12;12;account1;normal;normal;;500000;
10997;1218;1499;user5;30;36;12;account2;normal;normal;CPU-N;;
11114;1219;0;user2;16;12;12;account1;normal;normal;;500000;
11152;1220;349;user1;20;12;12;account1;normal;normal;;;gpu:2
11411;1221;269;user1;12;1;1;account1;normal;normal;;;
11423;1222;286;user1;6;12;12;account1;normal;normal;CPU-M;;
11456;1223;-1;user1;21;1;1;account1;normal;normal;CPU-M;;
11476;1224;303;user1;6;12;12;account1;normal;normal;;;
11484;1225;0;user1;5;96;12;account1;normal;normal;;;
11518;1226;201;user2;13;24;12;account1;normal;normal;CPU-M;;
11554;1227;242;user2;21;24;12;account1;normal;normal;CPU-N;;
11600;1228;180;user4;6;6;6;account2;normal;normal;;;
11618;1229;833;user3;24;96;12;account1;normal;normal;;;
11673;1230;1127;user3;23;12;12;account1;normal;normal;CPU-M;;
11699;1231;-1;user2;26;1;1;account1;normal;normal;CPU-N;;
11700;1232;160;user3;14;24;12;account1;normal;normal;;;
11700;1233;178;user1;5;12;12;account1;normal;normal;;500000;
11726;1234;360;user2;12;12;12;account1;normal;normal;;;
11850;1235;1002;user3;28;24;12;account1;normal;normal;;;
11948;1236;1579;user1;29;1;1;account1;normal;normal;;;
11989;1237;0;user2;27;24;12;account1;normal;normal;CPU-M;;
12059;1238;35;user3;18;6;6;account1;normal;normal;CPU-N;;
12072;1239;137;user5;9;6;6;account2;normal;normal;;;
12142;1240;332;user3;7;6;6;account1;normal;normal;;;
12165;1241;506;user4;22;1;1;account2;normal;normal;;;
12317;1242;-1;user4;26;1;1;account2;normal;normal;CPU-N;;
12376;1243;-1;user5;21;12;12;account2;normal;normal;CPU-M;;
12400;1244;271;user1;10;12;12;account1;normal;normal;;;
12408;1245;179;user5;5;2;2;account2;normal;normal;;;gpu:2
12468;1246;0;user4;9;1;1;account2;normal;normal;;;gpu:1
12540;1247;902;user4;26;24;12;account2;normal;normal;;;
12606;1248;-1;user3;18;6;6;account1;normal;normal;;;
12612;1249;384;user3;12;6;6;account1;normal;normal;CPU-N;;
12650;1250;244;user2;11;12;12;account1;normal;normal;;;
12750;1251;401;user3;19;6;6;account1;normal;normal;;;
12783;1252;1141;user4;28;24;12;account2;normal;normal;;;
12803;1253;-1;user3;23;48;12;account1;normal;normal;CPU-M;;
12865;1254;-1;user2;10;36;12;account1;normal;normal;CPU-N;;
12911;1255;152;user5;5;1;1;account2;normal;normal;;;
12927;1256;846;user4;18;1;1;account2;normal;normal;CPU-N;;
12963;1257;816;user4;15;1;1;account2;normal;normal;;;gpu:1
12971;1258;107;user4;10;6;6;account2;normal;normal;;;
12976;1259;694;user3;14;1;1;account1;normal;normal;CPU-M;;
13154;1260;129;user1;27;2;2;account1;normal;normal;;;gpu:2
13331;1261;0;user3;23;12;12;account1;normal;normal;CPU-N;;
13333;1262;179;user5;13;6;6;account2;normal;normal;;500000;
13469;1263;453;user1;9;6;6;account1;normal;normal;;;
13508;1264;151;user2;6;6;6;account1;normal;normal;CPU-M;;
13541;1265;337;user1;7;24;12;account1;normal;normal;CPU-M;;
13597;1266;1455;user4;25;48;12;account2;normal;normal;CPU-N;;
13616;1267;291;user5;11;12;12;account2;normal;normal;;;
13741;1268;-1;user1;10;6;6;account1;normal;normal;CPU-N;;
13753;1269;-1;user2;23;12;12;account1;normal;normal;;;
13797;1270;55;user3;20;12;12;account1;normal;normal;CPU-N;;
13810;1271;181;user4;7;1;1;account2;normal;normal;;500000;
13844;1272;302;user1;11;1;1;account1;normal;normal;CPU-M;;
13872;1273;-1;user4;19;36;12;account2;normal;normal;;;
13892;1274;196;user5;28;24;12;account2;normal;normal;CPU-N;;
13954;1275;1397;user3;30;36;12;account1;normal;normal;CPU-N;;
14003;1276;605;user3;17;36;12;account1;normal;normal;;;
14036;1277;925;user4;16;12;12;account2;normal;normal;;;gpu:2
14105;1278;1585;user2;27;6;6;account1;normal;normal;CPU-N;;
14181;1279;219;user1;18;1;1;account1;normal;normal;;;
14218;1280;270;user1;16;12;12;account1;normal;normal;;500000;
14225;1281;0;user5;16;6;6;account2;normal;normal;CPU-M;;
14246;1282;253;user4;10;12;12;account2;normal;normal;CPU-M;;
14255;1283;-1;user4;27;12;12;account2;normal;normal;CPU-M;;
14257;1284;578;user3;12;12;12;account1;normal;normal;;;
14276;1285;-1;user1;16;12;12;account1;normal;normal;;;gpu:2
14299;1286;585;user1;22;1;1;account1;normal;normal;;;gpu:1
14423;1287;-1;user4;21;12;12;account2;normal;normal;;;
14540;1288;664;user4;21;1;1;account2;normal;normal;;;
14546;1289;-1;user5;23;12;12;account2;normal;normal;;500000;
14584;1290;1106;user2;26;36;12;account1;normal;normal;;;
14694;1291;266;user4;14;1;1;account2;normal;normal;CPU-M;;
14696;1292;191;user2;6;12;12;account1;normal;normal;CPU-N;;
14764;1293;-1;user3;21;12;12;account1;normal;normal;CPU-M;;
14814;1294;101;user2;5;12;12;account1;normal;normal;;;
14815;1295;1169;user2;21;6;6;account1;normal;normal;CPU-M;;
14878;1296;234;user2;12;2;2;account1;normal;normal;;;gpu:2
14931;1297;546;user2;28;36;12;account1;normal;normal;CPU-M;;
14952;1298;-1;user2;12;12;12;account1;normal;normal;CPU-N;;
15075;1299;68;user1;25;6;6;account1;normal;normal;;;
15138;1300;901;user3;30;36;12;account1;normal;normal;CPU-N;;
15147;1301;136;user3;30;48;12;account1;normal;normal;CPU-M;;
15154;1302;0;user1;24;12;12;account1;normal;normal;CPU-M;;
15237;1303;-1;user2;5;1;1;account1;normal;normal;;;gpu:1
15300;1304;210;user1;9;1;1;account1;normal;normal;CPU-N;;
15316;1305;193;user2;10;36;12;account1;normal;normal;CPU-M;;
15369;1306;512;user3;26;1;1;account1;normal;normal;CPU-M;;
15370;1307;42;user4;30;48;12;account2;normal;normal;;;
15373;1308;116;user3;8;12;12;account1;normal;normal;;;
15377;1309;981;user4;19;12;12;account2;normal;normal;;;
15421;1310;934;user5;19;6;6;account2;normal;normal;CPU-M;;
15500;1311;979;user3;27;6;6;account1;normal;normal;CPU-M;;
15521;1312;167;user4;28;1;1;account2;normal;normal;CPU-M;;
15655;1313;671;user1;13;6;6;account1;normal;normal;CPU-M;;
15702;1314;617;user1;13;96;12;account1;normal;normal;;;
15736;1315;-1;user5;5;12;12;account2;normal;normal;;;
15746;1316;875;user5;25;1;1;account2;normal;normal;CPU-N;;
15787;1317;399;user5;10;6;6;account2;normal;normal;;500000;
15866;1318;347;user5;11;6;6;account2;normal;normal;CPU-M;;
15971;1319;91;user4;5;1;1;account2;normal;normal;CPU-N;;
15998;1320;763;user5;14;36;12;account2;normal;normal;;;
16032;1321;501;user3;24;6;6;account1;normal;normal;;500000;
16107;1322;282;user3;5;36;12;account1;normal;normal;CPU-N;;
16130;1323;429;user4;29;12;12;account2;normal;normal;;;
16133;1324;212;user2;17;1;1;account1;normal;normal;;;gpu:1
16177;1325;256;user2;30;12;12;account1;normal;normal;;;gpu:2
16253;1326;944;user2;20;12;12;account1;normal;normal;CPU-M;;
16353;1327;-1;user4;26;36;12;account2;normal;normal;CPU-M;;
16400;1328;-1;user1;5;48;12;account1;normal;normal;;;
16419;1329;57;user4;5;1;1;account2;normal;normal;CPU-N;;
16423;1330;342;user5;29;12;12;account2;normal;normal;;;
16540;1331;78;user4;17;6;6;account2;normal;normal;;;
16579;1332;47;user3;10;1;1;account1;normal;normal;;;
16613;1333;1035;user4;20;2;2;account2;normal;normal;;;gpu:2
16691;1334;160;user3;28;6;6;account1;normal;normal;CPU-N;;
16692;1335;322;user3;16;6;6;account1;normal;normal;CPU-M;;
16801;1336;0;user3;7;12;12;account1;normal;normal;CPU-N;;
17006;1337;655;user2;26;6;6;account1;normal;normal;;;
17054;1338;195;user2;9;12;12;account1;normal;normal;CPU-N;;
17103;1339;1044;user4;30;6;6;account2;normal;normal;;;
17134;1340;212;user3;13;6;6;account1;normal;normal;;;
17176;1341;-1;user4;22;6;6;account2;normal;normal;CPU-M;;
17208;1342;672;user1;19;36;12;account1;normal;normal;;;
17302;1343;183;user4;5;1;1;account2;normal;normal;CPU-N;;
17421;1344;0;user4;17;6;6;account2;normal;normal;CPU-N;;
17457;1345;-1;user1;5;1;1;account1;normal;normal;;;gpu:1
17512;1346;495;user4;21;6;6;account2;normal;normal;;;
17522;1347;144;user1;17;1;1;account1;normal;normal;;;
17615;1348;0;user5;5;1;1;account2;normal;normal;;;gpu:1
17633;1349;0;user3;10;1;1;account1;normal;normal;CPU-M;;
17654;1350;456;user3;11;48;12;account1;normal;normal;;;
17660;1351;-1;user5;20;12;12;account2;normal;normal;CPU-M;;
17826;1352;215;user4;5;96;12;account2;normal;normal;;;
17833;1353;191;user4;9;12;12;account2;normal;normal;;;
17843;1354;913;user1;19;6;6;account1;normal;normal;CPU-N;;
17860;1355;1001;user2;22;96;12;account1;normal;normal;;;
17930;1356;66;user4;8;1;1;account2;normal;normal;;;
18067;1357;172;user2;11;12;12;account1;normal;normal;;;
18086;1358;291;user3;9;1;1;account1;normal;normal;;;
18093;1359;236;user1;20;6;6;account1;normal;normal;CPU-N;;
18103;1360;482;user4;22;1;1;account2;normal;normal;;;
18121;1361;13;user1;5;12;12;account1;normal;normal;CPU-N;;
18165;1362;920;user5;23;1;1;account2;normal;normal;;;
18175;1363;368;user1;11;1;1;account1;normal;normal;CPU-M;;
18410;1364;-1;user2;20;12;12;account1;normal;normal;;;
18447;1365;137;user1;19;1;1;account1;normal;normal;CPU-M;;
18486;1366;854;user1;19;12;12;account1;normal;normal;;;gpu:2
18491;1367;375;user3;11;12;12;account1;normal;normal;;;gpu:2
18596;1368;360;user1;23;12;12;account1;normal;normal;;;gpu:2
18604;1369;971;user5;29;6;6;account2;normal;normal;CPU-N;;
18610;1370;-1;user5;22;1;1;account2;normal;normal;CPU-N;;
18691;1371;0;user4;13;12;12;account2;normal;normal;CPU-M;;
18694;1372;167;user4;26;1;1;account2;normal;normal;;500000;
18746;1373;243;user4;5;12;12;account2;normal;normal;CPU-N;;
18769;1374;-1;user2;22;36;12;account1;normal;normal;;;
18811;1375;0;user5;23;6;6;account2;normal;normal;;;
18869;1376;272;user5;29;6;6;account2;normal;normal;;;
18884;1377;1093;user4;19;12;12;account2;normal;normal;CPU-M;;
18931;1378;700;user2;16;24;12;account1;normal;normal;;;
18935;1379;431;user2;24;6;6;account1;normal;normal;;;
19004;1380;986;user2;21;1;1;account1;normal;normal;;;
19078;1381;735;user3;24;6;6;account1;normal;normal;;;
19103;1382;-1;user1;6;1;1;account1;normal;normal;CPU-M;;
19151;1383;1234;user1;25;96;12;account1;normal;normal;;;
19301;1384;10;user2;25;12;12;account1;normal;normal;;;
19340;1385;0;user1;28;36;12;account1;normal;normal;CPU-M;;
19375;1386;875;user1;26;1;1;account1;normal;normal;;;gpu:1
19401;1387;1387;user5;24;1;1;account2;normal;normal;CPU-M;;
19422;1388;1208;user1;27;1;1;account1;normal;normal;;;
19567;1389;0;user5;7;12;12;account2;normal;normal;;;
19687;1390;153;user2;27;1;1;account1;normal;normal;;;
19702;1391;399;user5;12;1;1;account2;normal;normal;CPU-N;;
19704;1392;276;user4;19;96;12;account2;normal;normal;;;
19737;1393;525;user4;24;36;12;account2;normal;normal;CPU-N;;
19829;1394;49;user1;19;12;12;account1;normal;normal;;500000;
19844;1395;-1;user2;16;12;12;account1;normal;normal;;500000;
19936;1396;633;user3;27;6;6;account1;normal;normal;;;
19956;1397;808;user2;26;1;1;account1;normal;normal;CPU-M;;
19977;1398;0;user5;12;1;1;account2;normal;normal;CPU-N;;
19984;1399;0;user1;5;1;1;account1;normal;normal;CPU-N;;
20064;1400;101;user2;17;1;1;account1;normal;normal;;;
20074;1401;136;user2;14;1;1;account1;normal;normal;;;gpu:1
20111;1402;765;user1;15;2;2;account1;normal;normal;;;gpu:2
20172;1403;841;user4;29;96;12;account2;normal;normal;;;
20184;1404;122;user4;23;48;12;account2;normal;normal;;;
20198;1405;5;user4;9;36;12;account2;normal;normal;CPU-M;;
20228;1406;333;user1;28;6;6;account1;normal;normal;;500000;
20242;1407;289;user4;6;12;12;account2;normal;normal;;;gpu:2
20294;1408;1032;user5;28;1;1;account2;normal;normal;;;
20354;1409;329;user4;19;6;6;account2;normal;normal;;;
20404;1410;442;user2;15;48;12;account1;normal;normal;CPU-M;;
20447;1411;0;user5;25;1;1;account2;normal;normal;;500000;
20520;1412;-1;user1;12;48;12;account1;normal;normal;CPU-N;;
20547;1413;91;user1;12;96;12;account1;normal;normal;;;
20589;1414;-1;user3;20;2;2;account1;normal;normal;;;gpu:2
20590;1415;-1;user1;30;48;12;account1;normal;normal;CPU-N;;
20619;1416;148;user4;5;6;6;account2;normal;normal;;;
20622;1417;163;user4;17;6;6;account2;normal;normal;;500000;
20669;1418;283;user1;11;96;12;account1;normal;normal;;;
20678;1419;1275;user1;26;12;12;account1;normal;normal;;500000;
20745;1420;1025;user2;24;12;12;account1;normal;normal;;;
20777;1421;436;user5;17;1;1;account2;normal;normal;CPU-M;;
20866;1422;1330;user5;23;96;12;account2;normal;normal;;;
20979;1423;359;user2;8;6;6;account1;normal;normal;CPU-M;;
20985;1424;270;user2;8;12;12;account1;normal;normal;;;
21022;1425;0;user3;27;2;2;account1;normal;normal;;;gpu:2
21033;1426;954;user2;20;36;12;account1;normal;normal;CPU-N;;
21147;1427;11;user2;9;12;12;account1;normal;normal;;500000;
21189;1428;0;user1;25;1;1;account1;normal;normal;;;
21237;1429;201;user3;29;6;6;account1;normal;normal;;;
21375;1430;1103;user3;25;1;1;account1;normal;normal;;;
21399;1431;-1;user3;19;36;12;account1;normal;normal;CPU-M;;
21469;1432;955;user1;26;1;1;account1;normal;normal;;;
21507;1433;213;user3;9;36;12;account1;normal;normal;CPU-N;;
21535;1434;-1;user2;25;24;12;account1;normal;normal;;;
